Id	PostCode	CityId	AddressId
1	344288	1	32
2	614164	1	29
3	394242	1	9
4	660540	1	27
5	125837	1	36
6	125703	1	20
7	625283	1	21
8	614611	1	15
9	454311	1	18
10	660007	1	19
11	603036	1	24
12	450983	1	11
13	394782	1	33
14	603002	1	4
15	450558	1	16
16	394060	1	30
17	410661	1	34
18	625590	1	8
19	625683	1	1
20	400562	1	5
21	614510	1	13
22	410542	1	25
23	620839	1	31
24	443890	1	7
25	603379	1	28
26	603721	1	3
27	410172	1	26
28	420151	1	2
29	125061	1	22
30	630370	1	35
31	614753	1	23
32	426030	1	12
33	450375	1	6
34	625560	1	17
35	630201	1	10
36	190949	1	14
